,LeafNodeName,FullPath,common,female,male
67,common_hepatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Common_hepatic,True,True,True
68,cystic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Cystic_A,True,True,True
69,dorsal_pancreatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Dorsal_pancreatic,True,True,True
70,gastroduodenal,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroduodenal,True,True,True
71,gastroepiploic_456gastro246omental789_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroepiploic_456gastro246omental789_L_A,True,True,True
72,gastroepiploic_456gastro246omental789_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Gastroepiploic_456gastro246omental789_R_A,True,True,True
73,great_pancreatic_456pancreatica_magna789,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Great_pancreatic_456pancreatica_magna789,True,True,True
74,ileocolic357colic_branch_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic357colic_branch_A,True,True,True
75,ileocolic357ileal_branch,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic357ileal_branch,True,True,True
76,ileocolic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Ileocolic_A,True,True,True
77,inferior_adrenal_l,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_adrenal_L,True,True,True
78,inferior_adrenal_r,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_adrenal_R,True,True,True
79,inferior_mesenteric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_mesenteric_A,True,True,True
80,inferior_pancreatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_pancreatic,True,True,True
81,inferior_phrenic_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_phrenic_L_A,True,True,True
82,inferior_phrenic_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Inferior_phrenic_R_A,True,True,True
83,jejunal_and_ileal_branches_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Jejunal_and_ileal_branches_A,True,True,True
84,left_colic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Left_colic_A,True,True,True
85,left_gastric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Left_gastric_A,True,True,True
86,marginal_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Marginal_A,True,True,True
87,medial_umbilical_ligament_456cord_of_umbilical_artery789_l,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Medial_umbilical_ligament_456cord_of_umbilical_artery789_L,True,True,True
88,medial_umbilical_ligament_456cord_of_umbilical_artery789_r,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Medial_umbilical_ligament_456cord_of_umbilical_artery789_R,True,True,True
89,middle_colic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Middle_colic_A,True,True,True
90,pancreatic_branches_caudal,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_caudal,True,True,True
91,pancreatic_branches_superior,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_superior,True,True,True
92,pancreatic_branches_to_head_456caput789,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreatic_branches_to_head_456caput789,True,True,True
93,pancreaticoduodenal_anterior_inferior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_anterior_inferior_A,True,True,True
94,pancreaticoduodenal_anterior_superior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_anterior_superior_A,True,True,True
95,pancreaticoduodenal_common_inferior,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_common_inferior,True,True,True
96,pancreaticoduodenal_posterior_inferior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_posterior_inferior_A,True,True,True
97,pancreaticoduodenal_posterior_superior_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Pancreaticoduodenal_posterior_superior_A,True,True,True
98,prepancreatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Prepancreatic,True,True,True
99,proper_hepatic,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Proper_hepatic,True,True,True
100,proper_hepatic_left_branch,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Proper_hepatic_left_branch,True,True,True
101,proper_hepatic_right_branch,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Proper_hepatic_right_branch,True,True,True
102,renal_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Renal_L_A,True,True,True
103,renal_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Renal_R_A,True,True,True
104,right_colic_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Right_colic_A,True,True,True
105,right_gastric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Right_gastric_A,True,True,True
106,short_gastric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Short_gastric_A,True,True,True
107,sigmoid_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Sigmoid_A,True,True,True
108,splenic_456lienal789_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Splenic_456lienal789_A,True,True,True
109,superior_epigastric_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Superior_epigastric_L_A,True,True,True
110,superior_epigastric_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Superior_epigastric_R_A,True,True,True
111,superior_mesenteric_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Common/Superior_mesenteric_A,True,True,True
112,aorta_descending_456abdominal789_female,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/FemOPQRSTale/Aorta_descending_456abdominal789_female,False,True,False
113,inferior_epigastric_female_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/FemOPQRSTale/Inferior_epigastric_female_L_A,False,True,False
114,inferior_epigastric_female_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/FemOPQRSTale/Inferior_epigastric_female_R_A,False,True,False
115,aorta_descending_456abdominal789_male,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/MalOPQRSTe/Aorta_descending_456abdominal789_male,False,False,True
116,inferior_epigastric_male_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/MalOPQRSTe/Inferior_epigastric_male_L_A,False,False,True
117,inferior_epigastric_male_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/MalOPQRSTe/Inferior_epigastric_male_R_A,False,False,True
118,gonadal_456testicular_internal_spermatic789_female_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/FemaOPQRSTle/Gonadal_456testicular_internal_spermatic789_female_L_A,False,True,False
119,gonadal_456testicular_internal_spermatic789_female_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/FemaOPQRSTle/Gonadal_456testicular_internal_spermatic789_female_R_A,False,True,False
120,superficial_epigastric_female_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/FemaOPQRSTle/Superficial_epigastric_female_L_A,False,True,False
121,superficial_epigastric_female_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/FemaOPQRSTle/Superficial_epigastric_female_R_A,False,True,False
122,gonadal_456testicular_internal_spermatic789_male_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/MaleOPQRST/Gonadal_456testicular_internal_spermatic789_male_L_A,False,False,True
123,gonadal_456testicular_internal_spermatic789_male_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/MaleOPQRST/Gonadal_456testicular_internal_spermatic789_male_R_A,False,False,True
124,superficial_epigastric_male_l_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/MaleOPQRST/Superficial_epigastric_male_L_A,False,False,True
125,superficial_epigastric_male_r_a,2_20_mAnatomy/Artery_system/AbdoABCDEFGmen/Repetition_with_PelvisHip/MaleOPQRST/Superficial_epigastric_male_R_A,False,False,True
126,circumflex_scapular_l_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Circumflex_scapular_L_A,True,True,True
127,circumflex_scapular_r_a,2_20_mAnatomy/Artery_system/BaABCDEFGck/Circumflex_scapular_R_A,True,True,True
